authorid,author_name,resource_id,resource_title,resource_month,resource_day,resource_year,resource_language,resource_sample_url,resource_full_url,resource_type,resource_source,tags,comments
aandwele,Adisa Andwele,aandwele_001,Caribbean Quarterly,December,,2001,English,https://dloc.com/UF00099208/00072/images,https://dloc.com/UF00099208/00072/images,image,dLOC,,"Access to this item is restricted to UF students, faculty, and staff"
acesaire,Aimé Césaire,acesaire_001,LES DROITS FONDAMENTAUX DANS L'OEUVRE POETIQUE D'AIME CESAIRE,March,27,2009,French,http://manioc.org/fichiers/HASH8c194718627a0bf3093c78,https://www.dloc.com/MANIOC1016/00001/,video,dLOC,,Resource is not loading on dLOC or MANIOC
acesaire,Aimé Césaire,acesaire_002,Cultural honours for six greats,Juy,12,1981,English,https://ufdcimages.uflib.ufl.edu/CA/00/10/01/04/00001/00001.jpg,https://www.dloc.com/CA00100104/00001/images,image,dLOC,,
acesaire,Aimé Césaire,acesaire_003,Migrant Textuality: On the fields of Aime Cesaire's Et les cheins taisaient,,,2012,English,001.jpg,https://www.dloc.com/AA00037912/00001/pdf,pdf,dLOC,,
acesaire,Aimé Césaire,acesaire_004,Honours roll,,,1981,English,https://ufdcimages.uflib.ufl.edu/CA/00/10/00/35/00001/00001.jpg,https://www.dloc.com/CA00100035/00001/images,image,dLOC,,
acesaire,Aimé Césaire,acesaire_005,"Entre Nous: Aime Cesaire, «Le dire et le faire»",November,28,1999,French,https://ufdcimages.uflib.ufl.edu/AA/00/07/46/23/00001/RL10059-CS-1931_02.mp3,https://www.dloc.com/AA00074623/00001/audios,audio,dLOC,,
acesaire,Aimé Césaire,acesaire_006,Jean Dominique sur Aime Cesaire: «Le dire et le faire»,November,1,1999,French,https://ufdcimages.uflib.ufl.edu/AA/00/07/30/25/00001/RL10059-CS-1059_01.mp3,https://www.dloc.com/AA00073025/00001/audios,audio,dLOC,,
acesaire,Aimé Césaire,acesaire_007,Jean-Bertrand Aristide,January,,1991,French,https://ufdcimages.uflib.ufl.edu/AA/00/07/58/56/00001/RL10059-RR-1175_01.mp3,https://www.dloc.com/AA00075856/00001/audios,audio,dLOC,,
acesaire,Aimé Césaire,acesaire_008,"Le Progressiste
organe du Parti progressiste martiniquais",June,18,2008,French,https://ufdcimages.uflib.ufl.edu/AA/00/05/36/06/01439/00001.jpg;https://ufdcimages.uflib.ufl.edu/AA/00/05/36/06/01439/00002.jpg;https://ufdcimages.uflib.ufl.edu/AA/00/05/36/06/01439/00003.jpg,https://www.dloc.com/AA00053606/01439/images,image,dLOC,,
acesaire,Aimé Césaire,acesaire_009,Instantanes Aime Cesaire : avec Romuald Fonkoua,,,,French,https://manioc.univ-antilles.fr/omeka-s/files/original/1283/CafeLittFonkoua.mp4,https://www.dloc.com/MANIOC1170/00001/,video,dLOC,,
acesaire,Aimé Césaire,acesaire_010,"Le Progressiste
organe du Parti progressiste martiniquais",July,2,2008,French,https://ufdcimages.uflib.ufl.edu/AA/00/05/36/06/01441/00001.jpg,https://www.dloc.com/AA00053606/01441/images,image,dLOC,,
acesaire,Aimé Césaire,acesaire_011,"Le Progressiste
organe du Parti progressiste martiniquais",April,23,2008,French,https://ufdcimages.uflib.ufl.edu/AA/00/05/36/06/01432/00001.jpg,https://www.dloc.com/AA00053606/01432/images,image,dLOC,,
amckenzie,Alecia McKenzie,amckenzie_001,Caribbean beat,May,,2021,English,001.jpg,https://dloc.com/AA00090268/00058/pdf,pdf,dLOC,,"Access to this item is restricted to UF students, faculty, and staff"
acarpentier,Alejo Carpentier,acarpentier_001,"Afro-Cuban religious experience
cultural reflections in narrative",,,,English,001.jpg;002.jpg;003.jpg;004.jpg;005.jpg;006.jpg;007.jpg;008.jpg;009.jpg;010.jpg;011.jpg;012.jpg;013.jpg;014.jpg;015.jpg;16.jpg,https://www.dloc.com/AA00061989/00001/pdf,pdf,dLOC,,"pg 19,23,24,31,39,66,118,"
acarpentier,Alejo Carpentier,acarpentier_002,Paisaje e historia emancipatoria del caribe en la narrativa de Alejo Carpentier,,,,French,https://manioc.univ-antilles.fr/omeka-s/files/original/1158/101209-Paysage-06-MIAMPIKA.mp4,http://www.manioc.org/fichiers/HASH96dc8a29b8adb6ac4749c1,video,dLOC,,seems to be something called manoic not sure if it is related to dloc
acarpentier,Alejo Carpentier,acarpentier_003,Caribbean Quarterly,December,,1975,,https://www.dloc.com/UF00099208/00169/images,https://www.dloc.com/UF00099208/00169/images,image,dLOC,,"Access to this item is restricted to UF students, faculty, and staff"
acarpentier,Alejo Carpentier,acarpentier_004,Teaching Guide for Alejo Carpentier’s The Kingdom of This World,,,2008,,https://ufdcimages.uflib.ufl.edu/UF/00/09/02/32/00001/jong_Page_01.jpg,https://www.dloc.com/UF00090232/00001/images,image,dLOC,,
acarpentier,Alejo Carpentier,acarpentier_005,"Alejo Carpentier's ""The kingdom of this world"" and the spectral voice of communal consciousness",,,,,https://ufdcimages.uflib.ufl.edu/UF/E0/01/34/05/00001/stanley_l_Page_01.jpg,https://www.dloc.com/UFE0013405/00001/images,image,dLOC,,
acarpentier,Alejo Carpentier,acarpentier_006,Caribbean Quarterly,March,,2009,,https://www.dloc.com/UF00099208/00093/images,https://www.dloc.com/UF00099208/00093/images,image,dLOC,,
aisfahanihammond,Alexandra Isfahani-Hammond,aisfahanihammond_001,Nieuwe West-Indische gids,,,1960,English,https://www.dloc.com/UF00099461/00113/pdf,https://www.dloc.com/UF00099461/00113/pdf,pdf,dLOC,,
aarthurs,Alexia Arthurs,aarthurs_001,Caribbean beat,May,,2019,English,https://www.dloc.com/AA00090268/00047/pdf,https://www.dloc.com/AA00090268/00047/pdf,pdf,dLOC,,
ahcata,Alfonso Hernández Catá,ahcata_001,"Pelayo Gonzalez, algvnas de sus ideas, algvnos de sus hechos, sv mverte",,,1922,Spanish,https://ufdcimages.uflib.ufl.edu/AA/00/08/93/47/00001/00275.jpg,https://www.dloc.com/AA00089347/00001/images,image,dLOC,,
ahmendes,Alfred Hubert Mendes,ahmendes_001,Pitch lake : a story from Trinidad,,,1980,English,https://ufdcimages.uflib.ufl.edu/AA/00/03/06/17/00001/PR9272-9-M46P51980_dj.jpg,https://www.dloc.com/AA00030617/00001/images,image,dLOC,,
ahmendes,Alfred Hubert Mendes,ahmendes_002,Black fauns,,,1984,English,https://ufdcimages.uflib.ufl.edu/AA/00/03/06/16/00001/PR9272-9-M46B551984_dj.jpg,https://www.dloc.com/AA00030616/00001/images,image,dLOC,,
alazare,Alick Lazare,alazare_001,"Star (Roseau, Dominica)",December,18,1965,English,https://ufdcimages.uflib.ufl.edu/UF/00/07/24/76/00018/72476_018_001.jpg,https://www.dloc.com/UF00072476/00018/images,image,dLOC,,
awilentz,Amy Wilentz,awilentz_001,Frè jen gason yo touye devan Stade Sylvio Cator; Amy Wilentz sou «The Rainy Season»,July,25,1989,French,https://ufdcimages.uflib.ufl.edu/AA/00/07/52/82/00001/RL10059-RR-0597_01.mp3,https://www.dloc.com/AA00075282/00001/audios,audio,dLOC,,
awilentz,Amy Wilentz,awilentz_002,The Journal of the Vodou Archive 2013,,,2012,English,https://ufdcimages.uflib.ufl.edu/AA/00/01/50/46/00002/00001.jpg,https://www.dloc.com/AA00015046/00002/images,image,dLOC,,
