Edgar Austin Mittelholzer,eamittelholzer,guyana,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
eamittelholzer,Corentyne Thunder,1972,English,Harvill Secker,London,England,london_england,Fiction (Novel),n,248,1940
eamittelholzer,Kaywana Blood,1976,English,Corgi Books,London,England,london__england,Fiction (Novel),n,568,1958
eamittelholzer,Sylvia,1976,English,Harvill Secker,London,England,london__england,Fiction (Novel),n,320,1963
eamittelholzer,Children Of Kaywana,1976,English,Harvill Secker,London,England,london__england,Fiction (Novel),n,511,1952
eamittelholzer,A Morning At The Office : A Novel,1950,English,Hogarth Press,London,England,london__england,Fiction (Novel),n,210,1950
eamittelholzer,The Life And Death Of Sylvia,2010,English,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Novel),n,318,2010
eamittelholzer,Corentyne Thunder,1940,English,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Novel),n,320,
eamittelholzer,A Tinkling In The Twilight,1959,English,Thornton Butterworth,London,England,london__england,Fiction (Novel),n,269,
eamittelholzer,Kaywana Heritage,1976,English,Harvill Secker,London,England,london__england,Fiction (Novel),n,256,1952
eamittelholzer,My Bone And My Flute,1985,English,Corgi Books,London,England,london__england,Fiction (Novel),n,174,1955
eamittelholzer,A Morning In Trinidad,1950,English,Longman Inc.,Harlow,England,harlow_england,Fiction (Novel),n,250,
eamittelholzer,Eltonsbrody,1960,English,Doubleday,"Garden City, NY",United States,garden_city_ny_united_states,Fiction (Novel),n,176,
